RefSeq_accession_number,gene_symbol,gene_name,AO_A12D,C8_A131,BH_A18Q,C8_A130,C8_A138,E2_A154,C8_A12L,A2_A0EX,A7_A0CE,AN_A04A
NP_001138773,RARA,retinoic acid receptor alpha isoform 1,-1,-1,-1,1,2,0.9,-0.58,-0.97,-0.89,-0.16
NP_775855,EFCAB4A,EF-hand calcium-binding domain-containing protein 4A,0,-2,-2,-3,0,-1.75,-2.23,-1.15,-0.89,-1.9
NP_789788,GATC,"glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",0,0,0,2,0,-0.67,-1.65,-1.16,-0.89,-0.56
NP_001243399,NA,pleckstrin homology domain-containing family A member 5 isoform 4,-1,1,-1,-1,2,-0.61,-0.52,0.16,-0.9,0.14
NP_064710,NA,UPF0505 protein C16orf62,-1,0,0,0,0,1.36,-0.39,0.9,-0.9,0.37
NP_002558,PEBP1,phosphatidylethanolamine-binding protein 1 preproprotein,-1,-2,1,0,-1,0.91,-0.69,0.41,-0.9,0.04
NP_055610,ZEB2,zinc finger E-box-binding homeobox 2 isoform 1,0,2,1,0,-1,0.51,-0.92,0.54,-0.9,0.38
NP_001871,ATF2,cyclic AMP-dependent transcription factor ATF-2 isoform 1,0,0,-1,2,1,-1.34,-0.19,-0.31,-0.9,0.07
NP_054729,ASTN2,astrotactin-2 isoform a precursor,2,-1,0,0,0,0,-0.73,-0.8,-0.9,-1.12
NP_060082,ZCCHC8,zinc finger CCHC domain-containing protein 8,-1,-1,1,0,1,-0.58,0.01,-0.09,-0.9,-0.21
NP_001124496,PEX5,peroxisomal biogenesis factor 5 isoform c,-1,-1,1,0,0,1.7,1.56,0.31,-0.9,-1.18
NP_659407,CXORF38,uncharacterized protein CXorf38,-1,0,0,0,-1,0.89,-0.16,-0.98,-0.9,-0.23
NP_004291,ACP1,low molecular weight phosphotyrosine protein phosphatase isoform c,0,-1,0,0,-1,1.27,-1.15,-1.19,-0.9,-1.62
NP_066552,NDUFV2,NADH dehydrogenase,-1,0,0,0,-1,0.48,-0.14,-0.55,-0.9,-0.23
NP_006387,SSSCA1,Sjoegren syndrome/scleroderma autoantigen 1,-1,-1,-2,0,-1,0.15,-0.49,-0.19,-0.9,-0.78
NP_001017995,SH3PXD2B,SH3 and PX domain-containing protein 2B,-1,1,0,1,0,-0.23,-0.78,2.16,-0.9,0.72
NP_001137293,NA,pleckstrin homology domain-containing family A member 5 isoform 2,-1,1,-1,-1,2,-0.61,-0.52,0.16,-0.9,0.09
NP_079177,DENND2D,DENN domain-containing protein 2D isoform a,-1,0,-2,-2,0,-2.3,-1.73,-0.19,-0.9,-0.61
NP_037485,TMOD4,tropomodulin-4,0,0,-1,-3,0,0,0.77,1.97,-0.9,0.48
NP_002544,ORC5L,origin recognition complex subunit 5 isoform 1,-1,-1,0,1,0,0.69,0.01,-0.45,-0.9,0.07
NP_077304,THTPA,thiamine-triphosphatase isoform 1,-1,-1,-1,-1,-1,0.79,-1.71,0.81,-0.9,-0.96
XP_003118566,NA,PREDICTED: rootletin,0,0,-9,-2,4,-2.69,-7.35,-1.52,-0.9,-5.26
XP_003403810,NA,PREDICTED: rootletin,2,2,-7,1,7,-3.8,3.17,2.57,-0.9,-5.26
NP_004918,MRPL49,"39S ribosomal protein L49, mitochondrial",-1,-1,0,0,-2,1.39,-0.05,-1.62,-0.9,-2.01
NP_003675,MKNK1,MAP kinase-interacting serine/threonine-protein kinase 1 isoform 1,-1,-2,0,-1,-2,-1.23,-2,1.75,-0.9,-1.51
NP_003098,SOX4,transcription factor SOX-4,0,0,-1,1,1,-1.25,0,0,-0.9,-5.26
NP_003099,SOX11,transcription factor SOX-11,0,0,-1,1,0,0,0,0,-0.9,-5.26
NP_008874,SOX12,transcription factor SOX-12,0,0,0,0,0,0,0,0,-0.9,-5.26
NP_001008708,CHAC2,cation transport regulator-like protein 2,-1,-1,-1,0,-3,-1.43,0.58,-1.49,-0.9,-1.52
NP_942147,PHLDB3,pleckstrin homology-like domain family B member 3,0,1,-4,-1,2,-2.63,-1.69,-0.21,-0.91,-2.76
NP_001245303,NA,epidermal growth factor receptor substrate 15-like 1 isoform 1,-1,-1,-1,1,-1,1.19,-0.44,0.64,-0.91,-0.67
NP_689547,TARSL2,"probable threonine--tRNA ligase 2, cytoplasmic",-1,0,1,1,-1,-0.13,1.12,0,-0.91,3.16
NP_055241,SNX5,sorting nexin-5,-1,0,1,0,-1,0.62,-1.79,1.6,-0.91,-0.36
NP_055181,GNL3,guanine nucleotide-binding protein-like 3 isoform 1,-1,-1,0,0,-1,1.37,0.06,1.67,-0.91,1.26
NP_005462,GNPDA1,glucosamine-6-phosphate isomerase 1,-1,-1,0,0,-1,1.13,-1.26,0.29,-0.91,-0.42
NP_001229756,NA,"NAD-dependent protein deacylase sirtuin-5, mitochondrial isoform 4",0,0,0,2,0,0.21,0.01,-0.42,-0.91,-0.27
NP_001072987,FAM177A1,protein FAM177A1 isoform 2,-1,0,-1,-1,-1,-0.4,1.13,-0.01,-0.91,0.24
NP_001123201,PLEKHG4,puratrophin-1 isoform 1,1,0,4,-1,1,-3.56,1.99,-1.18,-0.91,-0.49
NP_057581,MRPL51,"39S ribosomal protein L51, mitochondrial",-1,-2,1,0,-2,0.92,-1.14,-1.22,-0.91,0.34
NP_002936,RPA1,replication protein A 70 kDa DNA-binding subunit,-1,-1,1,1,0,0.41,-0.78,-0.6,-0.91,-0.91
NP_001032417,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B isoform 3",-2,2,2,-2,-1,1.77,0.33,0.11,-0.91,-3.3
NP_057126,EXOSC3,exosome complex component RRP40 isoform 1,-1,0,0,-1,0,0.51,-0.51,0.32,-0.91,-0.17
NP_001034702,IAH1,isoamyl acetate-hydrolyzing esterase 1 homolog precursor,-1,-1,0,-1,0,2.74,-0.16,1.12,-0.91,-0.19
NP_003230,TGFB3,transforming growth factor beta-3 preproprotein,0,-1,-4,1,2,-0.1,-2.62,1.21,-0.91,-2.29
NP_116019,CINP,cyclin-dependent kinase 2-interacting protein isoform 2,-1,1,-1,-1,-1,-0.12,-1.53,0.18,-0.91,-0.26
NP_604391,CREB1,cyclic AMP-responsive element-binding protein 1 isoform B,-1,0,-1,1,1,-0.73,-0.71,0.41,-0.91,-0.1
NP_444292,GNG2,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 precursor,-1,0,-1,-1,1,0.31,-0.87,1.74,-0.91,-1.39
NP_476507,COL6A3,collagen alpha-3(VI) chain isoform 4 precursor,-1,2,0,1,0,2.14,-1.33,4.18,-0.92,0.18
NP_057058,CRYL1,lambda-crystallin homolog,0,2,1,-1,4,2.94,-0.94,2.09,-0.92,-0.74
NP_005885,CD5L,CD5 antigen-like precursor,-1,1,-2,1,-1,-2.28,0.56,-0.47,-0.92,0.15
NP_852480,EXOSC8,exosome complex component RRP43,-1,1,0,0,0,-0.55,-0.34,0.07,-0.92,-0.45
NP_477517,LOH12CR1,loss of heterozygosity 12 chromosomal region 1 protein,0,0,0,0,0,0.28,0.14,1.17,-0.92,-2.32
NP_001768,CD47,leukocyte surface antigen CD47 isoform 1 precursor,-1,0,1,-2,0,-2.38,0.85,-0.88,-0.92,-0.7
NP_001640,SHROOM2,protein Shroom2,-1,0,-1,1,0,1.37,0.32,0.53,-0.92,1.51
NP_000214,KRT12,"keratin, type I cytoskeletal 12",-1,0,2,0,2,-2.59,0.17,3.45,-0.92,-0.86
NP_005090,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4 preproprotein,0,0,0,0,-3,-0.33,3.61,-0.25,-0.92,-0.65
NP_060726,WDR12,ribosome biogenesis protein WDR12,-1,0,1,0,-1,-0.32,1.4,-0.02,-0.92,1.34
NP_001098717,ARMC5,armadillo repeat-containing protein 5 isoform a precursor,0,-2,0,0,-1,2.53,-0.55,2.46,-0.92,-0.38
NP_149074,EAF1,ELL-associated factor 1,-1,0,-1,3,0,-1.89,-0.76,-1.44,-0.92,-0.89
NP_001371,DOCK1,dedicator of cytokinesis protein 1,-1,0,0,1,2,0.59,-1.45,1.74,-0.92,1.07
NP_001193997,NA,basic leucine zipper and W2 domain-containing protein 1 isoform 2,-1,0,-2,-1,1,-0.01,2.15,-0.36,-0.92,3.94
NP_002507,NOVA2,RNA-binding protein Nova-2,-2,-1,-2,2,-3,-2.79,-2.2,0.3,-0.92,0.17
NP_001893,CTH,cystathionine gamma-lyase isoform 1,-1,-2,-3,-2,-1,-0.59,-2.31,-0.06,-0.92,-2.81
NP_689600,KCTD18,BTB/POZ domain-containing protein KCTD18,-1,1,0,0,0,0.99,0.74,0.73,-0.92,-1.22
NP_056465,TRAF3IP1,TRAF3-interacting protein 1 isoform 1,0,0,-3,0,1,0.56,-0.52,1.79,-0.92,-0.18
NP_005552,LAMP1,lysosome-associated membrane glycoprotein 1 precursor,0,3,0,-2,2,0.28,1.62,0.56,-0.92,0.84
NP_065111,NAT14,N-acetyltransferase 14,0,2,0,0,3,-0.28,0.1,0.63,-0.92,-0.62
NP_002214,ITPR2,"inositol 1,4,5-trisphosphate receptor type 2",-1,0,1,-2,1,-3.65,-1.51,-1.55,-0.93,-1.1
NP_001150,AOX1,aldehyde oxidase,0,-1,2,-1,0,3.9,-1.2,1.68,-0.93,-1.02
NP_000706,C4BPA,C4b-binding protein alpha chain precursor,-1,2,-1,0,-2,-0.18,2.81,-1.99,-0.93,-1.47
NP_005754,AASS,"alpha-aminoadipic semialdehyde synthase, mitochondrial",-1,-1,0,-1,-2,1.44,-0.66,1.14,-0.93,-1.01
NP_001748,CBR1,carbonyl reductase,-1,-1,0,1,-2,0.87,-3.68,-0.51,-0.93,-1.9
NP_694999,MAMDC2,MAM domain-containing protein 2 precursor,-1,-1,4,-1,1,1.23,-0.49,4.03,-0.93,2.38
NP_057049,NDUFA13,NADH dehydrogenase,-1,0,1,0,-1,0.07,-0.2,-1.63,-0.93,0.53
NP_085076,NA,"beta-1,4-galactosyltransferase 2 isoform a",0,0,-4,0,0,0,-0.59,2.99,-0.93,-0.89
NP_056018,RPRD2,regulation of nuclear pre-mRNA domain-containing protein 2,-1,-1,0,0,0,-0.06,0.41,-0.47,-0.93,0.28
NP_788955,PSME1,proteasome activator complex subunit 1 isoform 2,-1,-2,1,-1,2,-0.39,-1.13,-0.97,-0.93,-1.39
NP_000662,NA,alcohol dehydrogenase class-3,-1,0,0,-1,-1,0.47,-2.04,1.21,-0.93,0.18
NP_061961,PAF1,RNA polymerase II-associated factor 1 homolog isoform 1,-1,0,-1,0,0,-0.49,-0.54,-0.81,-0.93,-0.5
NP_005474,CHAF1A,chromatin assembly factor 1 subunit A,-1,0,-1,2,-2,0.34,2.49,-1.51,-0.93,-1.52
NP_036267,FAM50B,protein FAM50B,0,-1,-1,0,-1,-0.88,0.33,0.29,-0.93,0.16
NP_001171867,NA,band 4.1-like protein 5 isoform 3,-1,0,-3,-1,1,1.13,-2.56,-0.44,-0.93,0.97
NP_001153408,EBNA1BP2,probable rRNA-processing protein EBP2 isoform 1,-1,0,-1,1,-1,-2.08,0.4,0.92,-0.93,0.94
NP_060866,METTL2B,methyltransferase-like protein 2B,-2,-1,-1,0,-1,0.17,-1.17,0.13,-0.93,0.86
NP_060453,WIPI1,WD repeat domain phosphoinositide-interacting protein 1,-1,-1,0,0,1,-0.14,-1.78,-0.59,-0.93,-0.12
NP_056286,NSL1,kinetochore-associated protein NSL1 homolog isoform 1,0,0,0,1,1,-0.67,-1.46,-1.18,-0.93,-0.68
NP_004562,PKNOX1,homeobox protein PKNOX1,0,-2,1,1,0,1.06,-0.45,-0.03,-0.93,0.88
NP_006539,IGF2BP2,insulin-like growth factor 2 mRNA-binding protein 2 isoform a,-1,2,6,-1,-2,0.6,-2.93,-2.4,-0.93,0.1
NP_006699,GLO1,lactoylglutathione lyase,-1,-2,0,1,-1,1.63,-1.52,0.19,-0.93,1.37
NP_000425,NEU1,sialidase-1 precursor,-1,0,0,0,0,-0.73,-1.31,-0.7,-0.93,0.45
NP_955452,POLQ,DNA polymerase theta,1,1,-6,-1,3,-6.16,-1.71,0.35,-0.93,1.97
NP_001094288,PID1,"PTB-containing, cubilin and LRP1-interacting protein isoform 2",0,1,0,0,1,0.25,-1.58,2.85,-0.93,-1.09
NP_060403,PID1,"PTB-containing, cubilin and LRP1-interacting protein isoform 1",0,0,0,0,1,0.25,-1.58,2.85,-0.93,-1.09
NP_862830,AMIGO2,amphoterin-induced protein 2 precursor,-1,-1,0,0,0,0,0.26,0.45,-0.93,0.81
NP_078938,NAT10,N-acetyltransferase 10 isoform a,-1,0,-1,1,0,-0.98,0.05,-0.52,-0.94,0.51
NP_079029,TTC21B,tetratricopeptide repeat protein 21B,-1,0,-1,0,1,2.63,-0.64,0.6,-0.94,-0.08
NP_694955,CEP120,centrosomal protein of 120 kDa isoform 1,-1,-1,0,0,3,0.99,0.89,-0.45,-0.94,-1.1
NP_071682,ICA1,islet cell autoantigen 1 isoform a,-1,0,-2,-1,-1,0.11,0.48,0.57,-0.94,0.37
NP_892023,GNAL,guanine nucleotide-binding protein G(olf) subunit alpha isoform 1,0,0,0,-1,1,-0.49,0.35,-0.06,-0.94,1.36
NP_031379,GNA12,guanine nucleotide-binding protein subunit alpha-12,-1,0,1,-1,0,0.48,0.54,0.93,-0.94,1.57
NP_001186904,NA,cytochrome b-c1 complex subunit 7 isoform 2,-2,0,1,-1,1,1.06,0.03,-1.48,-0.94,1.23
NP_036373,SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial isoform 1",0,0,0,2,0,0.31,-0.32,-0.42,-0.94,-0.54
XP_003403890,NA,PREDICTED: protein FRG1B-like,0,-1,1,1,-1,-7.03,-0.61,0.1,-0.94,1.7
NP_001035149,SPP1,osteopontin isoform OPN-c precursor,-2,-3,-5,-1,-2,-0.83,-1.78,-3.22,-0.94,0.71
NP_150091,PSIP1,PC4 and SFRS1-interacting protein isoform 2,-1,-2,2,-1,0,0.09,-3.36,0.59,-0.94,-1.03
NP_001822,CLU,clusterin preproprotein,-1,-1,-2,-1,-1,-0.56,0.71,-0.27,-0.94,-0.9
NP_002884,RBBP7,histone-binding protein RBBP7 isoform 2,-1,-1,-1,2,0,0.52,0.88,-0.13,-0.94,-1
NP_001185648,NA,histone-binding protein RBBP7 isoform 1,-1,-1,-1,2,0,0.62,0.88,-0.12,-0.94,-1.19
NP_036434,LPHN2,latrophilin-2 precursor,-1,1,-2,-1,-1,-0.25,-1.97,0.54,-0.94,-2
NP_006577,CNPY3,protein canopy homolog 3 precursor,0,1,1,0,-1,-0.77,0.13,-0.56,-0.94,-0.73
NP_114129,TAF3,transcription initiation factor TFIID subunit 3,-1,-2,0,1,0,0.56,-1.65,-0.19,-0.94,1.32
NP_009075,PCGF2,polycomb group RING finger protein 2,-3,-1,1,1,2,-0.54,-0.71,0.95,-0.94,0.38
NP_071890,TPK1,thiamin pyrophosphokinase 1 isoform a,-1,1,2,-2,1,0.36,-1.25,-0.11,-0.94,0.47
NP_003842,CREG1,protein CREG1 precursor,-1,2,2,0,-2,-0.25,2.09,0.23,-0.94,-2.49
NP_061748,NA,protocadherin gamma-B5 isoform 1 precursor,0,0,0,0,3,0.03,0.32,0.69,-0.94,-0.75
NP_005932,MMP16,matrix metalloproteinase-16 precursor,-2,-3,-6,-1,2,-6.8,-1.74,2.02,-0.94,3.25
NP_008949,CEP110,centriolin,-1,0,0,0,1,-0.56,-0.63,-0.82,-0.94,-0.13
NP_001248761,NA,set1/Ash2 histone methyltransferase complex subunit ASH2 isoform c,-1,-1,0,0,0,0.4,-0.3,0.91,-0.94,-0.4
NP_001139669,LOC643677,coiled-coil domain-containing protein 168,2,1,-1,0,1,-4.35,0.46,2.5,-0.94,1.08
NP_653244,SCLT1,sodium channel and clathrin linker 1,-1,-1,0,0,-1,0.46,0.44,0.93,-0.94,0.08
NP_523353,MSL3,male-specific lethal 3 homolog isoform a,-1,0,1,1,2,0.7,0.71,2.43,-0.94,0.95
NP_003086,SNRPF,small nuclear ribonucleoprotein F,-1,-1,0,2,-1,0.13,0.63,-0.16,-0.94,0.39
NP_478070,C21ORF70,protein FAM207A,0,-1,1,0,-2,0.54,0.34,0.57,-0.94,-0.03
NP_006848,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,-2,1,2,0,0,0.95,0.14,-0.21,-0.94,-0.75
NP_001165887,NA,inward rectifier potassium channel 13 isoform 2,1,1,0,0,-1,0.98,4.36,3.71,-0.94,-1.39
NP_004665,ASH2L,set1/Ash2 histone methyltransferase complex subunit ASH2 isoform a,-1,-1,1,0,0,0.34,-0.24,0.91,-0.95,-0.49
NP_001185773,NA,RNA-binding protein 4 isoform 3,-1,0,-1,2,0,-0.58,0.16,-0.06,-0.95,0.08
NP_859048,PRDX1,peroxiredoxin-1,-1,-1,-1,1,0,-0.67,-0.1,-0.19,-0.95,-1.26
NP_775818,TRIM65,tripartite motif-containing protein 65 isoform 1,-1,-1,1,0,0,0.05,0.39,0.02,-0.95,-1.52
NP_001243785,NA,F-box/WD repeat-containing protein 1A isoform 3,0,1,1,0,0,2.36,-0.04,0.68,-0.95,1.8
NP_055502,KIAA0226,run domain Beclin-1 interacting and cysteine-rich containing protein isoform 2,0,0,0,0,0,0.01,0.15,-0.02,-0.95,-0.05
NP_073571,METT11D1,"methyltransferase-like protein 17, mitochondrial isoform 2 precursor",-1,0,-2,-1,1,0.22,-0.72,-1.78,-0.95,1.93
NP_055130,KLHDC2,kelch domain-containing protein 2,0,0,-1,0,1,0.4,-0.72,-1.11,-0.95,1.38
NP_064629,CHPT1,cholinephosphotransferase 1,0,0,2,-1,-1,-1.56,-0.97,2.86,-0.95,-1.42
NP_005052,RPL3L,60S ribosomal protein L3-like,0,-1,-1,1,-2,-0.3,1.95,0.53,-0.95,1.26
NP_001171940,NA,condensin-2 complex subunit H2 isoform 3,-1,0,0,-1,0,-2.04,-1.07,-1.13,-0.95,0.18
NP_005862,SMNDC1,survival of motor neuron-related-splicing factor 30,0,0,-1,1,0,-0.74,-0.26,-0.08,-0.95,0.17
NP_689557,LSM12,protein LSM12 homolog,0,0,-1,0,-1,0.08,-0.55,-0.43,-0.95,-0.47
NP_036525,PFAS,phosphoribosylformylglycinamidine synthase,-1,0,-1,1,0,1.05,-1.6,0.47,-0.96,0.02
NP_039269,LIG3,DNA ligase 3 isoform alpha precursor,-1,-1,0,1,1,0.96,0.36,0.71,-0.96,-0.54
NP_001121113,LAMB3,laminin subunit beta-3 precursor,-2,4,1,-1,2,-3.35,1.92,-1.13,-0.96,2.28
NP_004392,DFFA,DNA fragmentation factor subunit alpha isoform 1,-1,-1,-1,1,-2,0.31,-1.58,1.29,-0.96,-0.15
NP_000366,UROS,uroporphyrinogen-III synthase,-1,1,-1,2,0,0.98,-1.08,1.01,-0.96,0.01
NP_001034930,NA,rho GTPase-activating protein 11B,0,0,0,3,0,0,0,0,-0.96,-2.24
NP_055860,WAPAL,wings apart-like protein homolog,-1,0,0,1,2,0.37,-1.01,0.25,-0.96,0.28
NP_005434,PAPSS1,bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,-1,-1,2,0,-1,-1.38,-2.64,-1.11,-0.96,-1.48
NP_002602,PDK2,"pyruvate dehydrogenase kinase, isozyme 2 isoform 1 precursor",-1,-2,0,0,-1,1.12,-1.17,-1.37,-0.96,0.52
NP_002004,FKBP3,peptidyl-prolyl cis-trans isomerase FKBP3,-2,-1,-1,2,0,0.64,-1.03,-0.44,-0.96,0.52
NP_001229811,NA,ATP-dependent (S)-NAD(P)H-hydrate dehydratase isoform c,0,-1,1,0,1,2.02,-0.82,0.96,-0.96,-0.16
NP_009193,PARK7,protein DJ-1,-1,-1,-1,0,-1,-0.26,-1.85,0.55,-0.96,-0.23
NP_005780,PSME3,proteasome activator complex subunit 3 isoform 1,-1,0,0,2,-1,0.22,1.14,-0.24,-0.96,-0.53
NP_054786,MACROD1,O-acetyl-ADP-ribose deacetylase MACROD1,-1,0,-1,2,1,0.95,-3.44,-0.98,-0.96,-0.3
NP_665807,NA,myotrophin,-1,-1,0,0,-1,1.21,-0.26,0.77,-0.96,-2.08
NP_065095,C1ORF128,PITH domain-containing protein 1,-1,1,0,-1,-1,0.62,-0.15,1.21,-0.96,0.16
NP_001191375,NA,AP-5 complex subunit sigma-1,-2,-1,0,-1,1,0.36,-0.82,0.14,-0.96,0.08
NP_005984,TBCD,tubulin-specific chaperone D,-1,-1,1,0,0,-0.31,0.56,0.5,-0.96,0.08
NP_001243239,NA,"glutaminase kidney isoform, mitochondrial isoform 2",-1,-1,3,-1,1,-0.22,2.44,-0.21,-0.96,-0.25
NP_004872,TP53I3,quinone oxidoreductase PIG3 isoform 1,-1,2,1,0,1,-0.37,1.43,1.51,-0.96,1.05
NP_444252,PFN2,profilin-2 isoform a,-1,0,-1,2,-4,-1.41,-2.14,0.45,-0.96,0.44
NP_006597,RBBP9,putative hydrolase RBBP9,-1,-2,0,1,-2,0.16,-0.63,0.31,-0.96,-0.68
NP_004598,TBCA,tubulin-specific chaperone A,-1,-2,0,1,-1,-0.76,0.08,-0.35,-0.96,0.11
NP_056263,DPCD,protein DPCD,-1,0,-2,1,2,2.29,0.02,1.31,-0.96,0.7
NP_001119523,HDGF,hepatoma-derived growth factor isoform c,-1,0,1,1,-1,-1.02,0.82,-0.02,-0.97,0.78
NP_000364,UMPS,uridine 5'-monophosphate synthase,-1,-1,0,1,-1,1.01,-0.71,-0.72,-0.97,-0.88
NP_009125,CHEK2,serine/threonine-protein kinase Chk2 isoform a,0,1,-1,1,0,-0.53,1.22,-0.09,-0.97,-0.5
NP_665861,CHEK2,serine/threonine-protein kinase Chk2 isoform b,0,1,-1,1,0,-0.53,1.22,-0.09,-0.97,-0.5
NP_653324,ZMAT2,zinc finger matrin-type protein 2,-1,-1,-6,1,2,-5.67,-1.43,-0.61,-0.97,-0.53
NP_079510,WDR61,WD repeat-containing protein 61,-1,-1,1,0,0,0.52,-0.61,0.5,-0.97,0.38
NP_077002,C1ORF50,uncharacterized protein C1orf50,-1,-1,-1,0,-1,-0.36,-1.56,0.12,-0.97,0.52
NP_068595,PPCDC,phosphopantothenoylcysteine decarboxylase,-1,0,0,0,2,1.27,-0.62,-0.82,-0.97,1.31
NP_071384,CXORF56,UPF0428 protein CXorf56 isoform 1,-1,-1,-1,2,-2,-0.18,1.32,-0.03,-0.97,0.59
NP_660309,NUDCD2,nudC domain-containing protein 2,-1,-1,-1,0,-1,-0.19,0.46,0.93,-0.97,-1.01
NP_071345,PKNOX2,homeobox protein PKNOX2,-1,-3,1,2,-1,1.06,0,0,-0.97,1.74
NP_002285,LAMP2,lysosome-associated membrane glycoprotein 2 isoform A precursor,-1,0,-1,-1,-2,1.27,3.4,-0.43,-0.97,-0.82
NP_055094,OLFM1,noelin isoform 1 precursor,-2,-1,-5,1,1,-6.07,0,0,-0.97,2.05
NP_056989,TRIM24,transcription intermediary factor 1-alpha isoform a,-1,0,-1,0,1,0.64,0,0.32,-0.97,-0.59
NP_060864,ABHD10,"mycophenolic acid acyl-glucuronide esterase, mitochondrial isoform 1 precursor",-1,-2,1,-1,0,2.22,-1.83,-1.45,-0.97,-0.64
NP_001093136,PTAR1,protein prenyltransferase alpha subunit repeat-containing protein 1,0,-1,-1,-1,0,0.43,-0.67,-0.32,-0.97,0.98
NP_066967,PSIP1,PC4 and SFRS1-interacting protein isoform 1,-1,-1,1,-1,0,0.01,-3.37,0.34,-0.97,-1.22
NP_001896,CTPS,CTP synthase 1,-1,1,0,-1,-2,-1.26,-0.53,-0.79,-0.97,0.18
NP_004183,ASMTL,N-acetylserotonin O-methyltransferase-like protein isoform 1,-1,-2,-1,0,0,2.71,-2.21,-0.03,-0.97,-0.53
NP_078930,NOL9,polynucleotide 5'-hydroxyl-kinase NOL9,0,0,-1,0,0,0.32,-0.96,0.09,-0.97,-0.49
NP_004993,NDUFA9,NADH dehydrogenase,0,0,1,0,0,-0.81,0.64,-0.39,-0.97,0.07
NP_002937,RPA2,replication protein A 32 kDa subunit,-1,0,0,0,0,0.23,-1.72,-0.75,-0.97,-1.94
NP_000437,PON1,serum paraoxonase/arylesterase 1 precursor,-1,0,-1,1,-2,1.4,1.18,-0.99,-0.97,-1.01
NP_075046,C12ORF43,uncharacterized protein C12orf43,-1,0,0,1,-1,-1.04,-1.2,-0.47,-0.97,-0.76
NP_054701,LAMP2,lysosome-associated membrane glycoprotein 2 isoform B precursor,-1,0,0,-1,-1,1.41,3.65,-0.26,-0.97,-0.79
NP_056082,CUX2,homeobox protein cut-like 2,1,0,-3,0,1,-2.46,0.03,0.13,-0.98,0.38
NP_031398,DDX42,ATP-dependent RNA helicase DDX42,-1,-1,0,1,-1,0.06,-0.58,-0.18,-0.98,0.23
NP_065704,ZNF287,zinc finger protein 287,0,0,-5,2,4,-7.81,0.09,-0.97,-0.98,-0.91
NP_006793,SF3A3,splicing factor 3A subunit 3,-1,0,1,1,-1,0.82,0.29,0.46,-0.98,0.09
NP_060504,WDR70,WD repeat-containing protein 70,-1,0,0,1,-1,-0.68,-0.43,0.54,-0.98,-0.43
NP_002070,GOT1,"aspartate aminotransferase, cytoplasmic",-1,-1,0,1,0,0.51,-0.56,-1.62,-0.98,-1.05
NP_001244326,NA,ubiquitin-conjugating enzyme E2 variant 1 isoform g,-1,0,0,0,1,0.25,0.07,0.36,-0.98,0.15
NP_036294,NA,F-box/LRR-repeat protein 6 isoform 1,-1,2,0,-2,2,0.04,2.18,0.05,-0.98,1.64
NP_057136,RRP15,RRP15-like protein,-1,-1,-1,1,0,-0.22,1.97,0.19,-0.98,0.44
NP_003202,TDG,G/T mismatch-specific thymine DNA glycosylase,-1,-1,0,1,0,0,2.03,-1.07,-0.98,0.69
NP_110442,PDRG1,p53 and DNA damage-regulated protein 1,0,0,-1,1,-2,-0.04,-0.49,0.23,-0.98,-0.89
NP_004821,MED23,mediator of RNA polymerase II transcription subunit 23 isoform a,0,-1,-1,5,1,-0.38,-0.34,-1.1,-0.98,-0.15
NP_065173,PTGFRN,prostaglandin F2 receptor negative regulator precursor,-1,0,-1,-1,1,-0.46,1.42,2.49,-0.98,-0.77
NP_001272,TBCB,tubulin-folding cofactor B,-1,0,-1,2,-1,-0.74,0.29,1.09,-0.98,0.12
NP_056326,C20ORF4,protein AAR2 homolog,-1,0,0,0,1,0.36,-0.26,-0.26,-0.98,0.37
NP_060340,TMEM132A,transmembrane protein 132A isoform a precursor,-1,0,-2,1,-1,-1.45,-0.88,-1.11,-0.98,-0.38
NP_000606,NCAM1,neural cell adhesion molecule 1 isoform 1 precursor,0,0,4,-1,0,0,1.07,1.9,-0.98,0.56
NP_000018,AGA,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 preproprotein,0,1,-1,1,0,-1.77,0,0.49,-0.98,0.02
NP_001325,CTSO,cathepsin O preproprotein,-1,1,0,-1,-1,0.14,-0.31,-0.4,-0.98,0.48
NP_060792,C6ORF64,SAYSvFN domain-containing protein 1,0,0,-3,0,0,0,1.67,0.14,-0.98,0.94
NP_003461,USP7,ubiquitin carboxyl-terminal hydrolase 7,-1,-1,0,2,0,0.81,0.37,-0.33,-0.99,0.75
NP_000292,PLG,plasminogen isoform 1 precursor,-1,2,-1,1,-2,-0.24,2.94,-0.47,-0.99,-1.03
NP_005947,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",-1,0,-1,1,0,1.01,-0.88,-1.87,-0.99,-0.25
NP_036216,GLUD2,"glutamate dehydrogenase 2, mitochondrial precursor",-1,-1,0,0,0,2.88,-1.27,0.51,-0.99,-0.19
